chamber,district_code,state_abbrev,affiliation,twitter_handle,bioname,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
House,7,IN,D,RepAndreCarson,"CARSON, Andrê©",-0.431,0.071,-34.05522,0.90926,358,18
House,1,GA,R,RepBuddyCarter,"CARTER, Buddy",0.555,0.32,-20.47246,0.94502,362,15
House,31,TX,R,JudgeCarter,"CARTER, John R.",0.468,0.606,-17.83623,0.95244,366,5
House,17,PA,D,RepCartwright,"CARTWRIGHT, Matt",-0.4,-0.014,-38.1013,0.90113,366,18
Senate,0,PA,D,SenBobCasey,"CASEY, Robert (Bob), Jr.",-0.296,0.196,-16.36127,0.90824,170,6
Senate,0,LA,R,BillCassidy,"CASSIDY, Bill",0.453,-0.105,-3.69664,0.97836,169,1
House,14,FL,D,USRepKCastor,"CASTOR, Kathy",-0.434,0.03,-26.94804,0.92902,366,9
House,20,TX,D,JoaquinCastrotx,"CASTRO, Joaquin",-0.401,0.051,-35.59686,0.90659,363,20
House,1,OH,R,RepSteveChabot,"CHABOT, Steve",0.583,-0.262,-13.39127,0.96426,368,1
House,3,UT,R,jasoninthehouse,"CHAFFETZ, Jason",0.647,-0.278,-10.59311,0.95867,251,5
House,1,WY,R,RepLizCheney,"CHENEY, Liz",0.557,0.514,-11.86787,0.96775,362,2
House,27,CA,D,RepJudyChu,"CHU, Judy",-0.504,-0.314,-20.19335,0.9456,361,9
House,1,RI,D,RepCicilline,"CICILLINE, David N.",-0.398,-0.25,-18.70529,0.94991,364,8
House,5,MA,D,RepKClark,"CLARK, Katherine M.",-0.48,-0.479,-14.97762,0.9588,356,3
House,9,NY,D,RepYvetteClarke,"CLARKE, Yvette Diane",-0.605,-0.227,-22.57043,0.94035,367,9
House,1,MO,D,LacyClayMO1,"CLAY, William Lacy, Jr.",-0.487,-0.058,-27.2715,0.92685,359,19
House,5,MO,D,repcleaver,"CLEAVER, Emanuel, II",-0.451,0.011,-19.49608,0.93942,312,9
House,6,SC,D,Clyburn,"CLYBURN, James Enos",-0.465,0.263,-23.69681,0.9338,346,9
Senate,0,MS,R,SenThadCochran,"COCHRAN, William Thad",0.286,0.05,-4.00404,0.97672,170,0
House,6,CO,R,RepMikeCoffman,"COFFMAN, Mike",0.499,-0.21,-37.45378,0.90248,365,22
House,9,TN,D,RepCohen,"COHEN, Stephen",-0.4,-0.375,-41.81692,0.89231,367,17
House,4,OK,R,TomColeOK04,"COLE, Tom",0.338,0.37,-20.63275,0.94354,355,5
House,27,NY,R,RepChrisCollins,"COLLINS, Chris",0.369,0.199,-15.12288,0.95586,335,2
House,9,GA,R,RepDougCollins,"COLLINS, Doug",0.648,0.029,-27.00626,0.92868,365,17
Senate,0,ME,R,SenatorCollins,"COLLINS, Susan Margaret",0.107,-0.574,-30.47974,0.83586,170,16
House,1,KY,R,KYComer,"COMER, James",0.568,0.057,-21.62624,0.94293,368,12
House,10,VA,R,RepComstock,"COMSTOCK, Barbara J.",0.27,0.476,-23.96073,0.93491,356,8
House,11,TX,R,ConawayTX11,"CONAWAY, K. Michael",0.591,0.352,-24.10607,0.93659,368,19
House,11,VA,D,GerryConnolly,"CONNOLLY, Gerald E. (Gerry)",-0.303,-0.033,-28.18958,0.92626,368,16
House,13,MI,D,RepJohnConyers,"CONYERS, John, Jr.",-0.658,-0.514,-25.22135,0.93288,363,11
House,8,CA,R,RepPaulCook,"COOK, Paul",0.396,0.183,-26.11835,0.93149,368,10
Senate,0,DE,D,ChrisCoons,"COONS, Christopher A.",-0.283,-0.229,-23.78125,0.86189,160,9
House,5,TN,D,repjimcooper,"COOPER, James Hayes Shofner",-0.161,-0.033,-76.46556,0.81146,366,33
Senate,0,TN,R,SenBobCorker,"CORKER, Robert (Bob)",0.391,-0.322,-14.21998,0.91884,168,5
Senate,0,TX,R,JohnCornyn,"CORNYN, John",0.497,-0.017,-2.75638,0.98392,170,1
House,46,CA,D,RepLouCorrea,"CORREA, Jose Luis",-0.285,0.43,-60.797,0.84733,367,31
Senate,0,NV,D,SenCortezMasto,"CORTEZ MASTO, Catherine Marie",-0.341,0.441,-31.40761,0.83131,170,16
House,16,CA,D,RepJimCosta,"COSTA, Jim",-0.185,0.468,-106.87459,0.73686,350,55
House,6,PA,R,RepRyanCostello,"COSTELLO, Ryan",0.217,-0.038,-49.04911,0.86924,350,22
Senate,0,AR,R,SenTomCotton,"COTTON, Tom",0.619,0.109,-6.20015,0.96419,170,2
House,2,CT,D,RepJoeCourtney,"COURTNEY, Joe",-0.342,0.024,-31.38602,0.91782,366,14
House,1,ND,R,RepKevinCramer,"CRAMER, Kevin",0.386,0.302,-17.94729,0.95176,363,6
Senate,0,ID,R,MikeCrapo,"CRAPO, Michael Dean",0.507,0.274,-3.92227,0.97719,170,3
House,1,AR,R,RepRickCrawford,"CRAWFORD, Rick",0.362,0.502,-15.17643,0.95815,355,3
House,29,CA,D,RepCardenas,"CêÅRDENAS, Tony",-0.368,-0.019,-42.04624,0.89063,363,18
House,13,FL,D,RepCharlieCrist,"CRIST, Charlie Joseph Jr.",-0.184,-0.099,-58.39065,0.85179,364,31
House,14,NY,D,repjoecrowley,"CROWLEY, Joseph",-0.407,-0.074,-30.03647,0.91931,357,16
Senate,0,TX,R,SenTedCruz,"CRUZ, Rafael Edward (Ted)",0.879,-0.397,-6.8492,0.95958,166,2
House,28,TX,D,RepCuellar,"CUELLAR, Henry",-0.226,0.626,-85.33657,0.79253,367,42
House,7,TX,R,CongCulberson,"CULBERSON, John",0.504,0.38,-18.55119,0.95044,365,6
House,7,MD,D,RepCummings,"CUMMINGS, Elijah Eugene",-0.438,-0.148,-12.40885,0.94417,216,7
House,26,FL,R,RepCurbelo,"CURBELO, Carlos",0.203,-0.204,-77.07781,0.80726,360,39
Senate,0,MT,R,SteveDaines,"DAINES, Steve",0.529,-0.017,-3.84606,0.97763,170,2
House,8,OH,R,WarrenDavidson,"DAVIDSON, Warren",0.731,-0.233,-26.18921,0.93076,365,8
House,7,IL,D,RepDannyDavis,"DAVIS, Danny K.",-0.488,-0.248,-18.76907,0.94455,329,9
House,13,IL,R,RodneyDavis,"DAVIS, Rodney",0.299,0.083,-25.7291,0.92628,336,14
House,53,CA,D,RepSusanDavis,"DAVIS, Susan A.",-0.345,-0.094,-22.04796,0.93809,345,8
House,4,OR,D,RepPeterDeFazio,"DeFAZIO, Peter Anthony",-0.428,0.008,-47.29041,0.87561,356,18
House,1,CO,D,RepDianaDeGette,"DeGETTE, Diana",-0.435,-0.306,-21.96689,0.94159,365,10
House,6,MD,D,RepJohnDelaney,"DELANEY, John",-0.274,0.016,-36.8594,0.90319,362,21
House,3,CT,D,rosadelauro,"DeLAURO, Rosa L.",-0.418,-0.112,-27.77506,0.92614,362,11
House,1,WA,D,RepDelBene,"DelBENE, Suzan K.",-0.277,-0.22,-29.09773,0.92398,368,11
House,10,FL,D,RepValDemings,"DEMINGS, Valdez Butler",-0.34,-0.157,-24.75794,0.93407,363,9
House,10,CA,R,RepJeffDenham,"DENHAM, Jeff",0.314,0.167,-29.96502,0.92139,366,17
House,15,PA,R,RepCharlieDent,"DENT, Charles W.",0.242,-0.094,-47.5075,0.87827,366,14
House,6,FL,R,RepDeSantis,"DeSANTIS, Ron",0.661,-0.114,-21.0308,0.94416,366,16
House,11,CA,D,RepDeSaulnier,"DESAULNIER, Mark James",-0.539,-0.244,-18.48555,0.95075,366,11
House,4,TN,R,DesJarlaisTN04,"DESJARLAIS, Scott",0.591,-0.12,-16.20426,0.95646,364,4
House,22,FL,D,RepTedDeutch,"DEUTCH, Theodore E. (Ted)",-0.416,-0.063,-27.63941,0.92365,348,15
House,25,FL,R,MarioDB,"DIAZ-BALART, Mario",0.278,0.086,-39.92633,0.89638,365,16
House,12,MI,D,RepDebDingell,"DINGELL, Debbie",-0.445,-0.013,-17.77051,0.9521,362,10
House,35,TX,D,RepLloydDoggett,"DOGGETT, Lloyd Alton, II",-0.402,-0.296,-26.76045,0.92893,363,12
Senate,0,IN,D,SenDonnelly,"DONNELLY, Joe",-0.119,0.428,-25.36291,0.8591,167,8
House,11,NY,R,RepDanDonovan,"DONOVAN, Daniel M., Jr.",0.228,0.131,-38.74315,0.89955,366,11
House,14,PA,D,USRepMikeDoyle,"DOYLE, Michael F.",-0.326,0.124,-37.32351,0.90305,366,10
Senate,0,IL,D,SenDuckworth,"DUCKWORTH, Tammy",-0.3,0.06,-37.16478,0.80259,169,16
House,7,WI,R,RepSeanDuffy,"DUFFY, Sean",0.513,-0.163,-23.52033,0.93554,353,13
House,3,SC,R,RepJeffDuncan,"DUNCAN, Jeff",0.741,-0.208,-15.191,0.95823,356,4
House,2,TN,R,RepJohnDuncanJr,"DUNCAN, John J., Jr.",0.599,-0.447,-92.38331,0.7753,363,27
House,2,FL,R,DrNealDunnFL2,"DUNN, Neal Patrick",0.491,0.664,-16.30933,0.9563,365,5
Senate,0,IL,D,SenatorDurbin,"DURBIN, Richard Joseph",-0.364,-0.359,-19.15245,0.8885,162,6
House,5,MN,D,keithellison,"ELLISON, Keith",-0.539,-0.559,-38.49113,0.8986,360,10
House,6,MN,R,RepTomEmmer,"EMMER, Thomas Earl II",0.418,-0.07,-23.30908,0.93797,364,10
House,16,NY,D,RepEliotEngel,"ENGEL, Eliot Lance",-0.407,-0.081,-37.93275,0.89616,346,15
Senate,0,WY,R,SenatorEnzi,"ENZI, Michael B.",0.537,0.177,-4.21116,0.97553,170,2
Senate,0,IA,R,joniernst,"ERNST, Joni",0.51,0.033,-4.5749,0.97329,169,2
House,18,CA,D,RepAnnaEshoo,"ESHOO, Anna Georges",-0.383,-0.424,-26.23641,0.93101,367,7
House,13,NY,D,RepEspaillat,"ESPAILLAT, Adriano J.",-0.58,-0.164,-20.36365,0.94602,367,8
House,4,KS,R,RepRonEstes,"ESTES, Ron",0.55,-0.198,-13.71647,0.92503,176,2
House,5,CT,D,RepEsty,"ESTY, Elizabeth",-0.305,-0.118,-30.57066,0.91987,366,12
House,2,PA,D,RepDwightEvans,"EVANS, Dwight",-0.509,0.035,-26.81744,0.92841,361,13
House,27,TX,R,farenthold,"FARENTHOLD, Blake",0.543,0.025,-21.20131,0.94402,368,8
House,19,NY,R,RepJohnFaso,"FASO, John J.",0.264,-0.122,-51.02029,0.86988,366,24
Senate,0,CA,D,SenFeinstein,"FEINSTEIN, Dianne",-0.263,-0.169,-13.6434,0.91079,146,6
House,3,GA,R,RepDrewFerguson,"FERGUSON, Anderson Drew IV",0.573,0.247,-11.99925,0.96783,367,2
Senate,0,NE,R,SenatorFischer,"FISCHER, Debra (Deb)",0.473,0.31,-3.36817,0.98038,170,2
House,8,PA,R,RepBrianFitz,"FITZPATRICK, Brian K.",0.273,-0.448,-85.47463,0.79173,366,40
Senate,0,AZ,R,JeffFlake,"FLAKE, Jeff",0.855,-0.518,-4.86049,0.97044,162,1
House,3,TN,R,RepChuck,"FLEISCHMANN, Chuck",0.483,0.292,-20.20464,0.94658,368,6
House,17,TX,R,RepBillFlores,"FLORES, Bill",0.606,0.316,-24.27713,0.93582,366,18
House,1,NE,R,JeffFortenberry,"FORTENBERRY, Jeff",0.301,-0.072,-28.19004,0.92448,359,9
House,11,IL,D,RepBillFoster,"FOSTER, Bill",-0.221,-0.223,-32.17805,0.91627,368,13
House,5,NC,R,virginiafoxx,"FOXX, Virginia Ann",0.648,0.139,-22.23832,0.94136,368,16
House,21,FL,D,RepLoisFrankel,"FRANKEL, Lois",-0.423,-0.043,-20.28849,0.94224,341,9
Senate,0,MN,D,SenFranken,"FRANKEN, Al",-0.411,-0.157,-12.23999,0.92973,168,3
House,8,AZ,R,RepTrentFranks,"FRANKS, Trent",0.748,0.095,-26.96215,0.92745,358,16
House,11,NJ,R,USRepRodney,"FRELINGHUYSEN, Rodney P.",0.29,-0.281,-41.35619,0.89316,366,13
House,11,OH,D,RepMarciaFudge,"FUDGE, Marcia L.",-0.583,0.105,-29.40283,0.92115,358,11
House,2,HI,D,TulsiPress,"GABBARD, Tulsi",-0.28,-0.167,-46.08604,0.87663,350,18
House,1,FL,R,RepMattGaetz,"GAETZ, Matthew L. II",0.723,-0.222,-46.33715,0.88078,365,25
House,8,WI,R,RepGallagher,"GALLAGHER, Michael",0.572,-0.12,-36.81728,0.90355,363,20
House,7,AZ,D,RepRubenGallego,"GALLEGO, Ruben",-0.444,-0.047,-38.94211,0.89413,348,15
House,3,CA,D,RepGaramendi,"GARAMENDI, John",-0.315,-0.091,-31.84983,0.91644,365,13
Senate,0,CO,R,SenCoryGardner,"GARDNER, Cory",0.456,0.002,-7.09844,0.9591,170,2
House,5,VA,R,RepTomGarrett,"GARRETT, Thomas Alexander Jr.",0.99,-0.141,-33.73135,0.91079,361,14
House,1,MT,R,,"GIANFORTE, Greg",0.348,0.704,-6.29716,0.94485,111,2
House,7,OH,R,RepBobGibbs,"GIBBS, Bob",0.452,0.276,-29.2481,0.9232,366,20
Senate,0,NY,D,SenGillibrand,"GILLIBRAND, Kirsten",-0.354,0.103,-74.82688,0.64393,170,35
House,1,TX,R,replouiegohmert,"GOHMERT, Louie",0.596,-0.239,-49.70303,0.86761,350,15
House,34,CA,D,JimmyGomezCA,"GOMEZ, Jimmy",-0.492,-0.678,-2.52085,0.97008,83,1
House,15,TX,D,RepGonzalez,"GONZALEZ, Vicente Jr.",-0.349,0.62,-55.06014,0.85818,360,27
House,6,VA,R,RepGoodlatte,"GOODLATTE, Robert William",0.493,-0.001,-19.09805,0.94916,366,5
House,4,AZ,R,RepGosar,"GOSAR, Paul",0.604,-0.306,-28.70025,0.92149,351,14
House,5,NJ,D,RepJoshG,"GOTTHEIMER, Josh S.",-0.133,0.108,-81.88964,0.80049,368,42
House,4,SC,R,TGowdySC,"GOWDY, Trey",0.668,-0.035,-15.00712,0.95993,367,4
Senate,0,SC,R,GrahamBlog,"GRAHAM, Lindsey O.",0.409,-0.176,-10.69099,0.93689,164,4
House,12,TX,R,RepKayGranger,"GRANGER, Kay",0.39,0.227,-18.92328,0.94707,348,3
Senate,0,IA,R,ChuckGrassley,"GRASSLEY, Charles Ernest",0.341,-0.07,-9.98535,0.94295,170,4
House,6,LA,R,RepGarretGraves,"GRAVES, Garret",0.486,-0.067,-30.14174,0.91925,358,19
House,6,MO,R,RepSamGraves,"GRAVES, Samuel",0.431,0.149,-23.01826,0.93756,357,15
House,14,GA,R,RepTomGraves,"GRAVES, Tom",0.756,-0.085,-25.79105,0.93214,367,19
House,9,TX,D,RepAlGreen,"GREEN, Al",-0.43,0.317,-38.57496,0.89758,357,18
House,29,TX,D,RepGeneGreen,"GREEN, Raymond Eugene (Gene)",-0.321,0.451,-62.43673,0.84037,359,29
House,9,VA,R,RepMGriffith,"GRIFFITH, H. Morgan",0.537,-0.455,-53.69066,0.8618,361,19
House,3,AZ,D,RepRaulGrijalva,"GRIJALVA, Raê_l M.",-0.596,-0.255,-13.69734,0.96205,354,4
House,6,WI,R,RepGrothman,"GROTHMAN, Glenn",0.602,-0.243,-28.02327,0.92451,357,9
House,2,KY,R,RepGuthrie,"GUTHRIE, Brett",0.4,0.259,-15.89944,0.95715,363,4
House,4,IL,D,RepGutierrez,"GUTIê_RREZ, Luis V.",-0.483,-0.268,-46.44879,0.87053,335,19
House,1,HI,D,RepHanabusa,"HANABUSA, Colleen",-0.382,0.014,-25.78375,0.93198,366,8
House,6,GA,R,RepKHandel,"HANDEL, Karen",0.459,0.321,-6.86755,0.93363,100,3
House,3,MS,R,GreggHarper,"HARPER, Gregg",0.383,0.487,-12.9968,0.96521,367,3
House,1,MD,R,RepAndyHarrisMD,"HARRIS, Andy",0.6,-0.292,-22.84019,0.937,351,5
Senate,0,CA,D,SenKamalaHarris,"HARRIS, Kamala Devi",-0.663,0.209,-13.2771,0.92444,169,6
House,4,MO,R,RepHartzler,"HARTZLER, Vicky",0.496,0.385,-21.88308,0.94134,362,10
Senate,0,NH,D,SenatorHassan,"HASSAN, Margaret (Maggie)",-0.26,-0.363,-12.76511,0.92766,170,6
House,20,FL,D,RepHastingsFL,"HASTINGS, Alcee Lamar",-0.564,0.143,-25.17813,0.93263,361,11
Senate,0,UT,R,SenOrrinHatch,"HATCH, Orrin Grant",0.382,-0.005,-5.40849,0.96869,170,2
House,10,WA,D,RepDennyHeck,"HECK, Denny",-0.321,-0.103,-29.18937,0.92334,366,10
Senate,0,NM,D,MartinHeinrich,"HEINRICH, Martin",-0.285,-0.037,-32.71692,0.82399,169,15
Senate,0,ND,D,SenatorHeitkamp,"HEITKAMP, Mary Kathryn (Heidi)",-0.127,0.392,-24.65688,0.86499,170,9
Senate,0,NV,R,SenDeanHeller,"HELLER, Dean",0.463,-0.474,-46.23496,0.75941,168,18
House,5,TX,R,RepHensarling,"HENSARLING, Jeb",0.704,0.039,-16.22008,0.95606,361,3
House,3,WA,R,HerreraBeutler,"HERRERA BEUTLER, Jaime",0.384,-0.25,-39.07613,0.89926,368,18
House,10,GA,R,CongressmanHice,"HICE, Jody Brownlow",0.715,-0.071,-17.97201,0.95195,365,14
House,26,NY,D,RepBrianHiggins,"HIGGINS, Brian",-0.342,-0.032,-30.31188,0.91838,356,9
House,3,LA,R,RepClayHiggins,"HIGGINS, Clay",0.42,0.294,-15.531,0.95845,366,4
House,2,AR,R,RepFrenchHill,"HILL, French",0.465,0.144,-24.06921,0.93635,366,11
House,4,CT,D,jahimes,"HIMES, James A.",-0.242,-0.26,-40.44305,0.89402,361,16
Senate,0,HI,D,maziehirono,"HIRONO, Mazie",-0.488,-0.096,-20.17382,0.88491,165,9
Senate,0,ND,R,SenJohnHoeven,"HOEVEN, John",0.338,0.335,-2.99483,0.98244,169,1
House,2,NC,R,RepHolding,"HOLDING, George E.B.",0.654,0.117,-22.25228,0.9407,364,14
House,9,IN,R,RepTrey,"HOLLINGSWORTH, Joseph Albert III",0.488,-0.196,-21.40537,0.9395,343,6
House,5,MD,D,WhipHoyer,"HOYER, Steny Hamilton",-0.378,0.115,-23.70937,0.93643,361,5
House,8,NC,R,RepRichHudson,"HUDSON, Richard",0.673,0.218,-20.50881,0.94079,336,15
House,2,CA,D,RepHuffman,"HUFFMAN, Jared",-0.435,-0.487,-33.95806,0.91022,361,16
House,2,MI,R,RepHuizenga,"HUIZENGA, Bill",0.637,-0.095,-17.06245,0.95333,357,11
House,14,IL,R,RepHultgren,"HULTGREN, Randy",0.496,-0.04,-20.16172,0.9464,366,5
House,50,CA,R,Rep_Hunter,"HUNTER, Duncan Duane",0.512,0.167,-30.28904,0.91973,362,10
House,23,TX,R,HurdOnTheHill,"HURD, William Ballard",0.406,0.211,-33.77542,0.91092,362,17
Senate,0,OK,R,jiminhofe,"INHOFE, James Mountain",0.551,0.037,-2.62097,0.98461,169,0
Senate,0,GA,R,SenatorIsakson,"ISAKSON, Johnny",0.404,-0.016,-2.11225,0.98351,127,1
House,49,CA,R,DarrellIssa,"ISSA, Darrell",0.508,-0.08,-20.373,0.94528,362,7
House,18,TX,D,JacksonLeeTX18,"JACKSON LEE, Sheila",-0.456,0.125,-35.70714,0.90379,353,11
House,7,WA,D,RepJayapal,"JAYAPAL, Pramila",-0.726,-0.181,-12.34417,0.96684,366,4
House,8,NY,D,RepJeffries,"JEFFRIES, Hakeem",-0.482,-0.088,-21.22126,0.94068,347,13
House,3,WV,R,RepEvanJenkins,"JENKINS, Evan H.",0.312,0.305,-33.11942,0.91303,364,19
House,2,KS,R,RepLynnJenkins,"JENKINS, Lynn",0.526,-0.021,-23.40386,0.9346,346,19
House,6,OH,R,RepBillJohnson,"JOHNSON, Bill",0.435,0.241,-24.09819,0.93628,366,18
House,30,TX,D,RepEBJ,"JOHNSON, Eddie Bernice",-0.486,0.206,-31.35079,0.91525,354,15
House,4,GA,D,RepHankJohnson,"JOHNSON, Hank",-0.475,0.063,-45.36887,0.87875,351,22
House,4,LA,R,RepMikeJohnson,"JOHNSON, Mike",0.474,0.413,-13.98423,0.96241,365,4
Senate,0,WI,R,SenRonJohnson,"JOHNSON, Ron",0.594,-0.328,-3.4154,0.97999,169,1
House,3,TX,R,SamsPressShop,"JOHNSON, Sam",0.609,0.283,-12.17781,0.9586,288,3
House,3,NC,R,RepWalterJones,"JONES, Walter Beaman, Jr.",0.238,-0.3,-367.36734,0.33727,338,156
