member,follower.ideo,bioname,Party
repandybiggsaz,1.667618457,"BIGGS, Andrew S.",Republican
repandyharrismd,0.857823347,"HARRIS, Andy",Republican
repannaeshoo,0.295092946,"ESHOO, Anna Georges",Democratic
repanniekuster,0.243542926,"KUSTER, Ann McLane",Democratic
repannwagner,1.125947591,"WAGNER, Ann",Republican
reparrington,1.14858632,"ARRINGTON, Jodey Cook",Republican
repbarbaralee,-0.892212432,"LEE, Barbara",Democratic
repbarragan,-0.393451238,"BARRAGêÅN, Nanette Diaz",Democratic
repbeatty,-0.424713018,"BEATTY, Joyce",Democratic
repbenraylujan,-0.050559074,"LUJêÅN, Ben Ray",Democratic
repbera,0.145888935,"BERA, Ami",Democratic
repbetoorourke,-0.625071539,"O'ROURKE, Beto",Democratic
repbillflores,1.377406087,"FLORES, Bill",Republican
repbillfoster,0.855044608,"FOSTER, Bill",Democratic
repbilljohnson,1.352794213,"JOHNSON, Bill",Republican
repbillshuster,1.261129962,"SHUSTER, William (Bill)",Republican
repblumenauer,-0.325315045,"BLUMENAUER, Earl",Democratic
repbobbyrush,0.356671,"RUSH, Bobby L.",Democratic
repbobgibbs,1.419632597,"GIBBS, Bob",Republican
repbonamici,-0.437298383,"BONAMICI, Suzanne",Democratic
repbonnie,-1.028115869,"WATSON COLEMAN, Bonnie",Democratic
repbost,1.172463061,"BOST, Mike",Republican
repbradashford,0.579131182,"ASHFORD, John Bradley",Democratic
repbradwenstrup,1.220709509,"WENSTRUP, Brad",Republican
repbrady,0.292473516,"BRADY, Robert A.",Democratic
repbrianbabin,1.159011168,"BABIN, Brian",Republican
repbrianfitz,0.924649034,"FITZPATRICK, Brian K.",Republican
repbrianhiggins,0.327831223,"HIGGINS, Brian",Democratic
repbrianmast,0.508948785,"MAST, Brian Jeffery",Republican
repbuddycarter,1.206019279,"CARTER, Buddy",Republican
repbyrne,1.178023696,"BYRNE, Bradley",Republican
repcarbajal,0.08212385,"CARBAJAL, Salud",Democratic
repcardenas,0.477681983,"CêÅRDENAS, Tony",Democratic
repcartwright,0.15417181,"CARTWRIGHT, Matt",Democratic
repcharliecrist,0.642881867,"CRIST, Charlie Joseph Jr.",Democratic
repcharliedent,0.640472731,"DENT, Charles W.",Republican
repcheri,0.282241004,"BUSTOS, Cheri",Democratic
repchriscollins,0.985830187,"COLLINS, Chris",Republican
repchrisgibson,1.119275309,"GIBSON, Christopher",Republican
repchrissmith,0.969914809,"SMITH, Christopher Henry",Republican
repchrisstewart,1.128975469,"STEWART, Chris",Republican
repchuck,1.182651469,"FLEISCHMANN, Chuck",Republican
repcicilline,-0.612642981,"CICILLINE, David N.",Democratic
repclayhiggins,1.244126697,"HIGGINS, Clay",Republican
repcleaver,0.128908303,"CLEAVER, Emanuel, II",Democratic
repcohen,-0.449138237,"COHEN, Stephen",Democratic
repcomstock,0.670313068,"COMSTOCK, Barbara J.",Republican
repcuellar,0.482778962,"CUELLAR, Henry",Democratic
repcummings,-0.636456001,"CUMMINGS, Elijah Eugene",Democratic
repcurbelo,0.707103097,"CURBELO, Carlos",Republican
repcurtclawson,1.267650925,"CLAWSON, Curt",Republican
repdandonovan,0.961517713,"DONOVAN, Daniel M., Jr.",Republican
repdankildee,-0.537788672,"KILDEE, Dan",Democratic
repdannydavis,0.407794187,"DAVIS, Danny K.",Democratic
repdarrensoto,0.007084843,"SOTO, Darren Michael",Democratic
repdavebrat,1.27209342,"BRAT, David A.",Republican
repdavejoyce,1.3953563,"JOYCE, David",Republican
repdavetrott,1.112860147,"TROTT, David A.",Republican
repdavid,1.204357865,"SCHWEIKERT, David",Republican
repdavideprice,-0.320699196,"PRICE, David Eugene",Democratic
repdavidkustoff,1.082324279,"KUSTOFF, David",Republican
repdavidrouzer,1.048047718,"ROUZER, David",Republican
repdavidscott,0.53743812,"SCOTT, David",Democratic
repdavidvaladao,1.0754804,"VALADAO, David G.",Republican
repdavidyoung,1.140459362,"YOUNG, David",Republican
repdebdingell,-0.076926191,"DINGELL, Debbie",Democratic
repdelbene,-0.744226577,"DelBENE, Suzan K.",Democratic
repdennisross,1.402694259,"ROSS, Dennis",Republican
repdennyheck,0.119813145,"HECK, Denny",Democratic
repderekkilmer,0.651515424,"KILMER, Derek",Democratic
repdesantis,1.65977936,"DeSANTIS, Ron",Republican
repdesaulnier,0.115888819,"DESAULNIER, Mark James",Democratic
repdianadegette,0.088501481,"DeGETTE, Diana",Democratic
repdianeblack,1.512166159,"BLACK, Diane",Republican
repdinatitus,0.650970063,"TITUS, Alice (Dina)",Democratic
repdlamborn,1.011006893,"LAMBORN, Doug",Republican
repdonaldpayne,0.363819108,"PAYNE, Donald, Jr.",Democratic
repdonbacon,0.998235638,"BACON, Donald J.",Republican
repdonbeyer,-0.447399322,"BEYER, Donald Sternoff Jr.",Democratic
repdonyoung,1.198152263,"YOUNG, Donald Edwin",Republican
repdougcollins,1.148173595,"COLLINS, Doug",Republican
repdrewferguson,1.131343075,"FERGUSON, Anderson Drew IV",Republican
repdwightevans,-0.113097279,"EVANS, Dwight",Democratic
repdwstweets,0.388080287,"WASSERMAN SCHULTZ, Debbie",Democratic
repebj,0.191411003,"JOHNSON, Eddie Bernice",Democratic
repedroyce,1.104858166,"ROYCE, Edward Randall",Republican
repedwhitfield,1.277018525,"WHITFIELD, Wayne Edward (Ed)",Republican
repeliotengel,0.139230294,"ENGEL, Eliot Lance",Democratic
reperikpaulsen,0.502064304,"PAULSEN, Erik",Republican
repespaillat,-0.380108147,"ESPAILLAT, Adriano J.",Democratic
repesty,0.254240394,"ESTY, Elizabeth",Democratic
repevanjenkins,1.185383704,"JENKINS, Evan H.",Republican
repfilemonvela,0.55867386,"VELA, Filemon",Democratic
repfinchertn08,1.296637474,"FINCHER, Stephen Lee",Republican
repfitzpatrick,1.144274135,"FITZPATRICK, Michael G.",Republican
repfleming,1.15998491,"FLEMING, John",Republican
repfrankguinta,1.090719247,"GUINTA, Frank",Republican
repfranklucas,1.122153292,"LUCAS, Frank D.",Republican
repfredupton,0.992269248,"UPTON, Frederick Stephen",Republican
repfrenchhill,1.085828826,"HILL, French",Republican
repgallagher,1.098274307,"GALLAGHER, Michael",Republican
repgaramendi,0.032070043,"GARAMENDI, John",Democratic
repgarretgraves,1.142687616,"GRAVES, Garret",Republican
repgarrett,1.186475515,"GARRETT, Scott",Republican
repgenegreen,0.341824611,"GREEN, Raymond Eugene (Gene)",Democratic
repgonzalez,0.493684643,"GONZALEZ, Vicente Jr.",Democratic
repgoodlatte,1.715455284,"GOODLATTE, Robert William",Republican
repgosar,1.517900012,"GOSAR, Paul",Republican
repgracemeng,-0.024754824,"MENG, Grace",Democratic
repgregorymeeks,0.258136351,"MEEKS, Gregory W.",Democratic
repgregwalden,0.963031147,"WALDEN, Greg",Republican
repgrothman,1.030370024,"GROTHMAN, Glenn",Republican
repgusbilirakis,1.311603846,"BILIRAKIS, Gus",Republican
repguthrie,1.15584194,"GUTHRIE, Brett",Republican
repgutierrez,-0.599842844,"GUTIê_RREZ, Luis V.",Democratic
repgwenmoore,-0.230140831,"MOORE, Gwendolynne S. (Gwen)",Democratic
rephalrogers,1.176194411,"ROGERS, Harold Dallas (Hal)",Republican
rephanabusa,-0.054106804,"HANABUSA, Colleen",Democratic
rephankjohnson,-0.088921818,"JOHNSON, Hank",Democratic
rephardy,1.163381709,"HARDY, Cresent Leo",Republican
rephartzler,1.212005239,"HARTZLER, Vicky",Republican
rephastingsfl,0.203607036,"HASTINGS, Alcee Lamar",Democratic
rephensarling,1.445429551,"HENSARLING, Jeb",Republican
repholding,1.040978119,"HOLDING, George E.B.",Republican
rephuffman,0.363844692,"HUFFMAN, Jared",Democratic
rephuizenga,1.197994356,"HUIZENGA, Bill",Republican
rephultgren,1.266493015,"HULTGREN, Randy",Republican
repjackbergman,0.942211173,"BERGMAN, John",Republican
repjackyrosen,-0.142054511,"ROSEN, Jacklyn Sheryl",Democratic
repjaredpolis,0.02465245,"POLIS, Jared",Democratic
repjasonlewis,1.076985409,"LEWIS, Jason Mark",Republican
repjasonsmith,1.05314985,"SMITH, Jason",Republican
repjayapal,-0.726086249,"JAYAPAL, Pramila",Democratic
repjbridenstine,1.131439801,"BRIDENSTINE, Jim",Republican
repjeffdenham,1.059374337,"DENHAM, Jeff",Republican
repjeffduncan,1.565581011,"DUNCAN, Jeff",Republican
repjeffries,-0.747953992,"JEFFRIES, Hakeem",Democratic
repjerrynadler,-0.539650876,"NADLER, Jerrold Lewis",Democratic
repjimbanks,1.195439748,"BANKS, James E.",Republican
repjimcooper,0.709883439,"COOPER, James Hayes Shofner",Democratic
repjimcosta,0.540781926,"COSTA, Jim",Democratic
repjimmcdermott,0.091181078,"McDERMOTT, James A. (Jim)",Democratic
repjimmygomez,-0.524002236,"GOMEZ, Jimmy",Democratic
repjimmypanetta,0.022814288,"PANETTA, James Varni",Democratic
repjimrenacci,1.225141575,"RENACCI, Jim",Republican
repjoebarton,1.272372988,"BARTON, Joe Linus",Republican
repjoecourtney,0.23926378,"COURTNEY, Joe",Democratic
repjoecrowley,-0.173518089,"CROWLEY, Joseph",Democratic
repjoekennedy,-0.374269529,"KENNEDY, Joseph P. III",Democratic
repjoewilson,1.303840159,"WILSON, Addison Graves (Joe)",Republican
repjohnconyers,0.084772384,"CONYERS, John, Jr.",Democratic
repjohndelaney,0.118769759,"DELANEY, John",Democratic
repjohnduncanjr,1.172991073,"DUNCAN, John J., Jr.",Republican
repjohnfaso,0.554292849,"FASO, John J.",Republican
repjohnkatko,0.976168299,"KATKO, John",Republican
repjohnkline,0.964288624,"KLINE, John",Republican
repjohnlarson,-0.06401494,"LARSON, John B.",Democratic
repjohnlewis,-0.855853663,"LEWIS, John R.",Democratic
repjohnyarmuth,-0.499018441,"YARMUTH, John",Democratic
repjoseserrano,0.401847607,"SERRANO, Josê© E.",Democratic
repjoshg,0.482810544,"GOTTHEIMER, Josh S.",Democratic
repjuanvargas,0.260659766,"VARGAS, Juan",Democratic
repjudychu,-0.755491179,"CHU, Judy",Democratic
repkarenbass,-0.911009682,"BASS, Karen",Democratic
repkathleenrice,0.570112262,"RICE, Kathleen Maura",Democratic
repkaygranger,1.235926627,"GRANGER, Kay",Republican
repkclark,-0.263909463,"CLARK, Katherine M.",Democratic
repkenbuck,1.236105894,"BUCK, Kenneth Robert",Republican
repkenmarchant,1.325119266,"MARCHANT, Kenny",Republican
repkevinbrady,1.423222168,"BRADY, Kevin Patrick",Republican
repkevincramer,1.294966117,"CRAMER, Kevin",Republican
repkevinyoder,1.303568822,"YODER, Kevin",Republican
repkhandel,1.119500564,"HANDEL, Karen",Republican
repkihuen,0.103510499,"KIHUEN, Ruben Jesus",Democratic
repkinzinger,1.055370267,"KINZINGER, Adam",Republican
repkristinoem,1.515002228,"NOEM, Kristi",Republican
replahood,0.962907626,"LaHOOD, Darin",Republican
replamalfa,1.025713611,"LaMALFA, Doug",Republican
replancenj7,0.849032351,"LANCE, Leonard",Republican
replarrybucshon,1.170453777,"BUCSHON, Larry",Republican
replawrence,-0.008622194,"LAWRENCE, Brenda L",Democratic
repleezeldin,1.664795457,"ZELDIN, Lee M",Republican
replindasanchez,0.010017704,"SêÅNCHEZ, Linda T.",Democratic
replipinski,0.374359288,"LIPINSKI, Daniel",Democratic
replizcheney,1.117931388,"CHENEY, Liz",Republican
replloyddoggett,-0.495867735,"DOGGETT, Lloyd Alton, II",Democratic
replobiondo,1.037150692,"LoBIONDO, Frank A.",Republican
reploiscapps,0.276121963,"CAPPS, Lois",Democratic
reploisfrankel,-0.521160162,"FRANKEL, Lois",Democratic
reploubarletta,1.519101774,"BARLETTA, Lou",Republican
reploucorrea,0.65591878,"CORREA, Jose Luis",Democratic
reploudermilk,1.159702863,"LOUDERMILK, Barry D.",Republican
replouiegohmert,1.76321029,"GOHMERT, Louie",Republican
replowenthal,0.334541995,"LOWENTHAL, Alan",Democratic
replujangrisham,0.193997356,"LUJAN GRISHAM, Michelle",Democratic
replukemesser,1.187714804,"MESSER, Luke",Republican
replynnjenkins,0.90838831,"JENKINS, Lynn",Republican
repmaloney,-0.537302798,"MALONEY, Carolyn Bosher",Democratic
repmarciafudge,-0.554331842,"FUDGE, Marcia L.",Democratic
repmarcykaptur,0.441153894,"KAPTUR, Marcia Carolyn (Marcy)",Democratic
repmarkmeadows,1.797013446,"MEADOWS, Mark",Republican
repmarkpocan,-0.935611128,"POCAN, Mark",Democratic
repmarktakai,0.536917445,"TAKAI, Mark",Democratic
repmarktakano,-0.240580453,"TAKANO, Mark",Democratic
repmarkwalker,1.349682585,"WALKER, Bradley Mark",Republican
repmartharoby,1.26558841,"ROBY, Martha",Republican
repmattgaetz,1.73269965,"GAETZ, Matthew L. II",Republican
repmaxinewaters,-0.638569977,"WATERS, Maxine",Democratic
repmccaul,1.337380288,"McCAUL, Michael T.",Republican
repmcclintock,0.847930632,"McCLINTOCK, Tom",Republican
repmceachin,-0.027360171,"MCEACHIN, Aston Donald",Democratic
repmcgovern,-0.255550543,"McGOVERN, James P.",Democratic
repmckinley,1.282015165,"McKINLEY, David",Republican
repmcnerney,0.399982539,"McNERNEY, Jerry",Democratic
repmcsally,0.988104734,"McSALLY, Martha",Republican
repmgriffith,1.266015603,"GRIFFITH, H. Morgan",Republican
repmialove,1.139965552,"LOVE, Ludmya Bourdeau (Mia)",Republican
repmikebishop,1.043761418,"BISHOP, Michael Dean",Republican
repmikecapuano,-0.05929627,"CAPUANO, Michael Everett",Democratic
repmikecoffman,0.865894445,"COFFMAN, Mike",Republican
repmikehonda,0.184509013,"HONDA, Mike",Democratic
repmikejohnson,1.118636643,"JOHNSON, Mike",Republican
repmikequigley,-0.773137789,"QUIGLEY, Mike",Democratic
repmikerogersal,1.256695122,"ROGERS, Mike Dennis",Republican
repmiketurner,1.185287164,"TURNER, Michael R.",Republican
repmimiwalters,0.916432094,"WALTERS, Mimi",Republican
repmobrooks,1.359370975,"BROOKS, Mo",Republican
repmoolenaar,1.012601488,"MOOLENAAR, John",Republican
repmullin,1.238769363,"MULLIN, Markwayne",Republican
repnewhouse,1.038411306,"NEWHOUSE, Daniel Milton",Republican
repohalleran,-0.086960693,"O'HALLERAN, Thomas C.",Democratic
reppaulcook,1.088565102,"COOK, Paul",Republican
reppaulmitchell,0.947076999,"MITCHELL, Paul",Republican
reppaultonko,-0.279127732,"TONKO, Paul",Democratic
repperlmutter,0.35199658,"PERLMUTTER, Ed",Democratic
reppeteaguilar,0.210962281,"AGUILAR, Peter Rey",Democratic
reppeteking,1.392143187,"KING, Peter T.",Republican
reppeteolson,1.209364817,"OLSON, Pete",Republican
reppeterdefazio,-0.135482646,"DeFAZIO, Peter Anthony",Democratic
reppittenger,1.270238173,"PITTENGER, Robert",Republican
reppoliquin,0.801212659,"POLIQUIN, Bruce Lee",Republican
repralphnorman,1.416856099,"NORMAN, Ralph",Republican
repraskin,-0.886118442,"RASKIN, Jamie Ben",Democratic
repratcliffe,1.673711601,"RATCLIFFE, John",Republican
repraulgrijalva,-0.479552936,"GRIJALVA, Raê_l M.",Democratic
repreneeellmers,1.218798052,"ELLMERS, Renee",Republican
repribble,1.198439077,"RIBBLE, Reid",Republican
reprichardhanna,0.884727617,"HANNA, Richard",Republican
reprichardneal,0.25636777,"NEAL, Richard Edmund",Democratic
reprichhudson,1.311505882,"HUDSON, Richard",Republican
reprichmond,-0.203006247,"RICHMOND, Cedric",Democratic
reprickallen,1.256329319,"ALLEN, Rick W.",Republican
reprickcrawford,1.207680578,"CRAWFORD, Rick",Republican
repricklarsen,0.074116117,"LARSEN, Richard Ray (Rick)",Democratic
reproberthurt,1.148393939,"HURT, Robert",Republican
reprobinkelly,0.277372236,"KELLY, Robin L.",Democratic
reprobwoodall,1.18864254,"WOODALL, Rob",Republican
reprodblum,1.225499927,"BLUM, Rod",Republican
reprokhanna,-0.5943673,"KHANNA, Rohit",Democratic
repronestes,1.10963228,"ESTES, Ron",Republican
repronkind,0.235089647,"KIND, Ron",Democratic
reprooney,1.0724505,"ROONEY, Francis",Republican
reproybalallard,0.138065218,"ROYBAL-ALLARD, Lucille",Democratic
reprubengallego,-0.310467624,"GALLEGO, Ruben",Democratic
reprussell,1.188137607,"RUSSELL, Steve",Republican
reprutherfordfl,1.106503767,"RUTHERFORD, John Henry",Republican
reprwilliams,1.218690128,"WILLIAMS, Roger",Republican
repryancostello,0.887969131,"COSTELLO, Ryan",Republican
repsamgraves,1.181631132,"GRAVES, Samuel",Republican
repsandylevin,-0.02662924,"LEVIN, Sander Martin",Democratic
repsanfordsc,1.142819818,"SANFORD, Mark",Republican
repsarbanes,-0.224856638,"SARBANES, John",Democratic
repschneider,0.129287236,"SCHNEIDER, Brad",Democratic
repschrader,0.290677111,"SCHRADER, Kurt",Democratic
repscottperry,1.369953007,"PERRY, Scott",Republican
repscottpeters,0.321135014,"PETERS, Scott",Democratic
repscottrigell,1.163124959,"RIGELL, E. Scott",Republican
repseanduffy,1.573397813,"DUFFY, Sean",Republican
repseanmaloney,-0.189077199,"MALONEY, Sean Patrick",Democratic
repsheaporter,0.114244562,"SHEA-PORTER, Carol",Democratic
repshimkus,1.249611745,"SHIMKUS, John M.",Republican
repsinema,0.152715865,"SINEMA, Kyrsten",Democratic
repsires,0.572090153,"SIRES, Albio",Democratic
repsmucker,0.701624725,"SMUCKER, Lloyd K.",Republican
repspeier,-0.584732269,"SPEIER, Karen Lorraine Jacqueline (Jackie)",Democratic
repstefanik,0.975984261,"STEFANIK, Elise M",Republican
repstephenlynch,-0.020939228,"LYNCH, Stephen F.",Democratic
repstephmurphy,-0.191503111,"MURPHY, Stephanie",Democratic
repstevechabot,1.326661381,"CHABOT, Steve",Republican
repsteveisrael,0.240107028,"ISRAEL, Steve",Democratic
repstevepearce,0.954812396,"PEARCE, Stevan",Republican
repstevestivers,1.226058034,"STIVERS, Steve",Republican
repsusandavis,-0.285277585,"DAVIS, Susan A.",Democratic
repswalwell,-0.611816124,"SWALWELL, Eric",Democratic
reptedbudd,1.0865017,"BUDD, Theodore Paul",Republican
repteddeutch,-0.785122051,"DEUTCH, Theodore E. (Ted)",Democratic
reptedlieu,-0.859334586,"LIEU, Ted",Democratic
reptedyoho,1.465484351,"YOHO, Ted",Republican
reptenney,0.871153833,"TENNEY, Claudia",Republican
repterrisewell,-0.639601788,"SEWELL, Terri",Democratic
repthomasmassie,1.442423141,"MASSIE, Thomas",Republican
repthompson,0.390671257,"THOMPSON, Michael",Democratic
reptimryan,-0.306550685,"RYAN, Timothy J.",Democratic
reptimwalz,-0.106066268,"WALZ, Tim",Democratic
reptipton,1.061388042,"TIPTON, Scott",Republican
reptomemmer,0.781916612,"EMMER, Thomas Earl II",Republican
reptomgarrett,1.085465313,"GARRETT, Thomas Alexander Jr.",Republican
reptomgraves,1.133754717,"GRAVES, Tom",Republican
reptommacarthur,1.025099796,"MacARTHUR, Thomas Charles",Republican
reptommarino,1.287355356,"MARINO, Thomas A.",Republican
reptomprice,1.217961664,"PRICE, Tom",Republican
reptomreed,1.013680167,"REED, Thomas W. II",Republican
reptomrice,1.09118295,"RICE, Tom",Republican
reptomsuozzi,0.326430924,"SUOZZI, Thomas",Democratic
reptrentkelly,1.023069729,"KELLY, Trent",Republican
reptrey,0.939173529,"HOLLINGSWORTH, Joseph Albert III",Republican
repvaldemings,-0.026359656,"DEMINGS, Valdez Butler",Democratic
repveasey,0.388069149,"VEASEY, Marc",Democratic
repvisclosky,0.814187106,"VISCLOSKY, Peter",Democratic
repwalberg,1.090653109,"WALBERG, Tim",Republican
repwalorski,1.032162722,"WALORSKI, Jackie",Republican
repwalterjones,1.119901219,"JONES, Walter Beaman, Jr.",Republican
repwebster,1.326391917,"WEBSTER, Daniel A.",Republican
repwesterman,1.171242715,"WESTERMAN, Bruce Eugene",Republican
